pcode1,punishlev,take20,dictatorallocation
"C431631",,0,-15
"C431631",3,0,20
"C431631",2,0,10
"C431631",0,0,0
"C431631",1,0,5
"C431631",,0,-10
"C431631",4,0,30
"C431631",0,0,40
"C473614",0,1,10
"C473614",0,1,30
"C473614",6,1,-15
"C473614",2,1,-5
"C473614",0,1,35
"C473614",0,1,40
"C473614",4,1,-10
"C473614",0,1,25
"C473614",10,1,-20
"C473614",0,1,5
"C473614",0,1,0
"C473614",0,1,20
"C473614",0,1,15
"C492725",0,1,-5
"C492725",7,1,35
"C492725",1,1,10
"C492725",5,1,25
"C492725",0,1,0
"C492725",0,1,5
"C492725",2,1,-10
"C492725",3,1,15
"C492725",5,1,30
"C492725",6,1,40
"C492725",4,1,20
"C492725",3,1,-15
"C492725",4,1,-20
"C547017",5,1,35
"C547017",8,1,30
"C547017",0,1,40
"C547017",15,1,20
"C547017",20,1,10
"C547017",3,1,-5
"C547017",10,1,25
"C547017",5,1,-10
"C547017",8,1,-15
"C547017",22,1,0
"C547017",10,1,-20
"C547017",18,1,15
"C547017",21,1,5
"C552905",0,1,35
"C552905",10,1,-5
"C552905",0,1,30
"C552905",15,1,-10
"C552905",30,1,-20
"C552905",0,1,20
"C552905",5,1,5
"C552905",2,1,15
"C552905",20,1,-15
"C552905",7,1,0
"C552905",0,1,25
"C552905",3,1,10
"C552905",0,1,40
"C571331",0,1,-15
"C571331",0,1,-10
"C571331",4,1,35
"C571331",0,1,5
"C571331",2,1,25
"C571331",0,1,15
"C571331",3,1,30
"C571331",0,1,-5
"C571331",0,1,0
"C571331",0,1,-20
"C571331",5,1,40
"C571331",1,1,20
"C571331",0,1,10
"C576711",10,1,20
"C576711",15,1,10
"C576711",15,1,0
"C576711",15,1,-5
"C576711",10,1,15
"C576711",4,1,30
"C576711",10,1,25
"C576711",20,1,-20
"C576711",15,1,5
"C576711",0,1,40
"C576711",0,1,35
"C576711",15,1,-15
"C576711",15,1,-10
"C605439",3,1,-5
"C605439",2,1,35
"C605439",6,1,15
"C605439",1,1,40
"C605439",7,1,5
"C605439",5,1,20
"C605439",5,1,25
"C605439",5,1,-10
"C605439",8,1,-15
"C605439",10,1,-20
"C605439",10,1,10
"C605439",15,1,0
"C605439",3,1,30
"C639125",6,0,35
"C639125",3,0,10
"C639125",,0,-15
"C639125",5,0,25
"C639125",,0,-20
"C639125",4,0,15
"C639125",7,0,30
"C639125",10,0,40
"C639125",2,0,20
"C639125",0,0,0
"C639125",,0,-10
"C639125",,0,-5
"C639125",1,0,5
"C665429",0,0,20
"C665429",,0,-20
"C665429",0,0,40
"C665429",1,0,35
"C665429",0,0,25
"C665429",,0,-5
"C665429",0,0,5
"C665429",0,0,15
"C665429",0,0,30
"C665429",,0,-15
"C665429",0,0,0
"C665429",,0,-10
"C665429",0,0,10
"C728653",1,1,0
"C728653",0,1,30
"C728653",0,1,25
"C728653",0,1,15
"C728653",0,1,40
"C728653",0,1,10
"C728653",4,1,-15
"C728653",3,1,-10
"C728653",0,1,20
"C728653",2,1,-5
"C728653",0,1,5
"C728653",0,1,35
"C728653",5,1,-20
"C746716",1,1,-5
"C746716",0,1,0
"C746716",3,1,-10
"C746716",0,1,20
"C746716",0,1,15
"C746716",0,1,25
"C746716",2,1,35
"C746716",3,1,40
"C746716",6,1,-20
"C746716",0,1,10
"C746716",0,1,5
"C746716",1,1,30
"C746716",4,1,-15
"C747121",20,1,-10
"C747121",10,1,-20
"C747121",10,1,35
"C747121",0,1,-5
"C747121",5,1,-15
"C747121",5,1,15
"C747121",15,1,10
"C747121",15,1,40
"C747121",5,1,20
"C747121",10,1,5
"C747121",20,1,25
"C747121",5,1,30
"C747121",5,1,0
"C758404",5,1,20
"C758404",20,1,-5
"C758404",0,1,30
"C758404",10,1,15
"C758404",15,1,0
"C758404",20,1,-20
"C758404",25,1,-15
"C758404",0,1,40
"C758404",10,1,10
"C758404",5,1,25
"C758404",5,1,35
"C758404",10,1,5
"C758404",20,1,-10
"C759524",,0,-5
"C759524",0,0,5
"C759524",5,0,10
"C759524",5,0,20
"C759524",5,0,25
"C759524",0,0,0
"C759524",,0,-10
"C759524",5,0,30
"C759524",,0,-20
"C759524",,0,-15
"C759524",5,0,35
"C759524",40,0,40
"C759524",5,0,15
"C792912",0,1,0
"C792912",0,1,-5
"C792912",0,1,20
"C792912",10,1,35
"C792912",10,1,40
"C792912",0,1,15
"C792912",5,1,-20
"C792912",0,1,-10
"C792912",5,1,-15
"C792912",5,1,10
"C792912",10,1,30
"C792912",5,1,5
"C792912",0,1,25
"C794814",30,1,30
"C794814",3,1,5
"C794814",0,1,0
"C794814",5,1,-5
"C794814",15,1,-15
"C794814",25,1,25
"C794814",40,1,40
"C794814",10,1,10
"C794814",15,1,15
"C794814",30,1,-20
"C794814",20,1,20
"C794814",10,1,-10
"C794814",35,1,35
"C829059",16,1,-15
"C829059",14,1,-10
"C829059",17,1,-20
"C829059",4,1,35
"C829059",14,1,5
"C829059",12,1,10
"C829059",16,1,0
"C829059",4,1,40
"C829059",8,1,20
"C829059",6,1,30
"C829059",6,1,25
"C829059",10,1,15
"C829059",10,1,-5
"C838215",7,1,-20
"C838215",2,1,5
"C838215",1,1,20
"C838215",0,1,-5
"C838215",1,1,25
"C838215",4,1,-10
"C838215",1,1,15
"C838215",0,1,40
"C838215",5,1,0
"C838215",1,1,10
"C838215",5,1,-15
"C838215",1,1,30
"C838215",1,1,35
"C844518",0,1,5
"C844518",5,1,-5
"C844518",0,1,15
"C844518",0,1,40
"C844518",0,1,35
"C844518",5,1,0
"C844518",0,1,20
"C844518",5,1,-20
"C844518",0,1,25
"C844518",5,1,-10
"C844518",5,1,-15
"C844518",0,1,10
"C844518",0,1,30
"C847027",20,0,20
"C847027",,0,-5
"C847027",0,0,40
"C847027",15,0,5
"C847027",25,0,0
"C847027",30,0,10
"C847027",15,0,25
"C847027",25,0,15
"C847027",5,0,35
"C847027",,0,-20
"C847027",,0,-15
"C847027",10,0,30
"C847027",,0,-10
"C853120",2,1,25
"C853120",3,1,-20
"C853120",2,1,30
"C853120",3,1,20
"C853120",0,1,35
"C853120",0,1,-5
"C853120",0,1,0
"C853120",2,1,-15
"C853120",0,1,40
"C853120",3,1,15
"C853120",4,1,5
"C853120",4,1,10
"C853120",1,1,-10
"C921522",15,0,15
"C921522",15,0,35
"C921522",18,0,30
"C921522",,0,-10
"C921522",3,0,5
"C921522",0,0,0
"C921522",,0,-20
"C921522",0,0,40
"C921522",,0,-15
"C921522",20,0,20
"C921522",10,0,10
"C921522",18,0,25
"C921522",,0,-5
"C955728",1,0,30
"C955728",0,0,0
"C955728",3,0,40
"C955728",,0,-10
"C955728",0,0,25
"C955728",2,0,35
"C955728",1,0,10
"C955728",0,0,5
"C955728",0,0,20
"C955728",,0,-15
"C955728",0,0,15
"C955728",,0,-20
"C955728",,0,-5
"C984815",15,0,5
"C984815",,0,-15
"C984815",5,0,35
"C984815",,0,-5
"C984815",10,0,10
"C984815",10,0,20
"C984815",,0,-20
"C984815",5,0,25
"C984815",5,0,30
"C984815",20,0,0
"C984815",10,0,15
"C984815",,0,-10
"C984815",0,0,40
"C992317",0,0,15
"C992317",0,0,30
"C992317",,0,-20
"C992317",,0,-10
"C992317",0,0,5
"C992317",,0,-15
"C992317",,0,-5
"C992317",0,0,0
"C992317",0,0,25
"C992317",0,0,10
"C992317",0,0,35
"C992317",0,0,20
"C992317",0,0,40
